KPI,BatsManID,BowlerID,BatsManName,BowlerName,Runs,RunsThroughExtras,TotalRuns,BallsFaced,StrikeRate,DotBalls,DBPercent,DotBallFrequency,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,BdryFreq,BdryPercent,WicketLost,RPSS
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2019-100mb00000000141-e67c41d144a711,Aiden Markram,Andre Russell,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2019-100mb00000000156-a6b6f42c44aa11,Aiden Markram,Sunil Narine,6,0,6,5,120.00,0,0.00,0.00,5,4,1,0,0,0,0.00,0.00,0,1.20
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2023-100mb00000001932-5539f1d7c3fd11,Aiden Markram,Suyash Sharma,6,0,6,3,200.00,0,0.00,0.00,3,2,0,0,1,0,3.00,66.67,0,2.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2018-100mb00000000031-b334eaf6f08611,Shahbaz Ahmed,Mitchell Starc,6,0,6,1,600.00,0,0.00,0.00,1,0,0,0,0,1,1.00,100.00,0,6.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2019-100mb00000000140-a41b85f2449d11,Shahbaz Ahmed,Varun Chakaravarthy,6,0,6,2,300.00,1,50.00,2.00,1,0,0,0,0,1,2.00,100.00,0,6.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2019-100mb00000000141-e67c41d144a711,Shahbaz Ahmed,Andre Russell,4,0,4,1,400.00,0,0.00,0.00,1,0,0,0,1,0,1.00,100.00,0,4.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2022-100mb00000001013-30676520bcc011,Shahbaz Ahmed,Harshit Rana,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2018-100mb00000000031-b334eaf6f08611,Abdul Samad,Mitchell Starc,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000140-a41b85f2449d11,Abdul Samad,Varun Chakaravarthy,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000141-e67c41d144a711,Abdul Samad,Andre Russell,11,0,11,4,275.00,1,25.00,4.00,3,1,0,0,1,1,2.00,90.91,1,3.67
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000156-a6b6f42c44aa11,Abdul Samad,Sunil Narine,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2023-100mb00000001932-5539f1d7c3fd11,Abdul Samad,Suyash Sharma,1,0,1,3,33.33,2,66.67,1.50,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2021-100mb00000000586-8238f85f91de11,2022-100mb00000001013-30676520bcc011,Marco Jansen,Harshit Rana,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000182-b78f12ef44b611,2020-100mb00000000541-c84d8371639b11,Jos Buttler,Mohsin Khan,1,1,2,3,66.67,2,66.67,1.50,1,1,0,0,0,0,0.00,0.00,0,2.00
Head To Head,2019-100mb00000000182-b78f12ef44b611,2021-100mb00000000639-cf9c67ec2fe411,Jos Buttler,Naveen-Ul-Haq,10,0,10,6,166.67,3,50.00,2.00,3,0,1,0,2,0,3.00,80.00,1,3.33
Head To Head,2019-100mb00000000189-ac8c327a44b711,2018-100mb00000000017-5e389774e99c11,Riyan Parag,Krunal Pandya,10,1,11,12,91.67,2,25.00,4.00,9,8,1,0,0,0,0.00,0.00,0,1.22
Head To Head,2019-100mb00000000189-ac8c327a44b711,2020-100mb00000000520-c2b1e0df638711,Riyan Parag,Ravi Bishnoi,12,0,12,8,150.00,1,12.50,8.00,7,6,0,0,0,1,8.00,50.00,0,1.71
Head To Head,2019-100mb00000000189-ac8c327a44b711,2021-100mb00000000639-cf9c67ec2fe411,Riyan Parag,Naveen-Ul-Haq,11,1,12,4,300.00,1,25.00,4.00,3,1,0,0,1,1,2.00,83.33,1,4.00
Head To Head,2019-100mb00000000189-ac8c327a44b711,2022-100mb00000001550-b8b1d54854ee11,Riyan Parag,Yash Thakur,10,1,11,5,220.00,1,20.00,5.00,4,2,1,0,0,1,5.00,54.55,0,2.75
Head To Head,2019-100mb00000000190-c62cbae544b711,2018-100mb00000000017-5e389774e99c11,Sanju Samson,Krunal Pandya,9,0,9,12,75.00,3,25.00,4.00,9,9,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000520-c2b1e0df638711,Sanju Samson,Ravi Bishnoi,18,0,18,11,163.64,1,9.09,11.00,10,8,0,0,1,1,5.50,55.56,0,1.80
Head To Head,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000541-c84d8371639b11,Sanju Samson,Mohsin Khan,21,0,21,10,210.00,3,30.00,3.33,7,3,1,0,1,2,3.33,76.19,0,3.00
Head To Head,2019-100mb00000000190-c62cbae544b711,2021-100mb00000000639-cf9c67ec2fe411,Sanju Samson,Naveen-Ul-Haq,3,1,4,5,80.00,2,40.00,2.50,3,3,0,0,0,0,0.00,0.00,0,1.33
Head To Head,2019-100mb00000000190-c62cbae544b711,2022-100mb00000000985-f5950061a44811,Sanju Samson,Ayush Badoni,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000190-c62cbae544b711,2022-100mb00000001550-b8b1d54854ee11,Sanju Samson,Yash Thakur,29,1,30,11,272.73,2,27.27,3.67,9,3,2,0,1,3,2.75,73.33,0,3.33
Head To Head,2019-100mb00000000210-b8addb3444bb11,2020-100mb00000000520-c2b1e0df638711,Shimron Hetmyer,Ravi Bishnoi,0,0,0,2,0.00,2,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000210-b8addb3444bb11,2021-100mb00000000639-cf9c67ec2fe411,Shimron Hetmyer,Naveen-Ul-Haq,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000210-b8addb3444bb11,2022-100mb00000000985-f5950061a44811,Shimron Hetmyer,Ayush Badoni,4,0,4,4,100.00,1,25.00,4.00,3,2,1,0,0,0,0.00,0.00,0,1.33
Head To Head,2020-100mb00000000533-e895f279639811,2020-100mb00000000541-c84d8371639b11,Yashasvi Jaiswal,Mohsin Khan,17,0,17,9,188.89,3,33.33,3.00,6,3,0,0,2,1,3.00,82.35,1,2.83
Head To Head,2020-100mb00000000533-e895f279639811,2021-100mb00000000639-cf9c67ec2fe411,Yashasvi Jaiswal,Naveen-Ul-Haq,7,0,7,3,233.33,0,0.00,0.00,3,1,1,0,1,0,3.00,57.14,0,2.33
Head To Head,2022-100mb00000001004-da6e207ea44e11,2020-100mb00000000520-c2b1e0df638711,Dhruv Jurel,Ravi Bishnoi,8,0,8,3,266.67,1,33.33,3.00,2,0,1,0,0,1,3.00,75.00,0,4.00
Head To Head,2022-100mb00000001004-da6e207ea44e11,2020-100mb00000000541-c84d8371639b11,Dhruv Jurel,Mohsin Khan,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2022-100mb00000001004-da6e207ea44e11,2021-100mb00000000639-cf9c67ec2fe411,Dhruv Jurel,Naveen-Ul-Haq,5,2,7,5,140.00,2,40.00,2.50,3,1,2,0,0,0,0.00,0.00,0,2.33
Head To Head,2022-100mb00000001004-da6e207ea44e11,2022-100mb00000001550-b8b1d54854ee11,Dhruv Jurel,Yash Thakur,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000017-5e389774e99c11,2018-100mb00000000045-f658f1b6f88a11,Krunal Pandya,Ravichandran Ashwin,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000017-5e389774e99c11,2019-100mb00000000109-5cc123ab449411,Krunal Pandya,Avesh Khan,2,2,4,2,200.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,2.00
