KPI,BatsManID,BowlerID,BatsManName,BowlerName,Runs,RunsThroughExtras,TotalRuns,BallsFaced,StrikeRate,DotBalls,DBPercent,DotBallFrequency,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,BdryFreq,BdryPercent,WicketLost,RPSS
Head To Head,2019-100mb00000000202-438eed6944ba11,2021-100mb00000000600-e91c35199df211,Heinrich Klaasen,Shams Mulani,26,0,26,8,325.00,1,12.50,8.00,7,2,1,0,1,3,2.00,84.62,0,3.71
Head To Head,2019-100mb00000000202-438eed6944ba11,20226e936a7872aa11ec8ab502ab46c,Heinrich Klaasen,Kwena Maphaka,11,1,12,4,300.00,1,25.00,4.00,3,1,0,0,1,1,2.00,83.33,0,4.00
Head To Head,2019-100mb00000000202-438eed6944ba11,2023-100mb00000002535-239c770f61da11,Heinrich Klaasen,Gerald Coetzee,14,0,14,8,175.00,1,12.50,8.00,7,4,2,0,0,1,8.00,42.86,0,2.00
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2018-100mb00000000054-e3ebefa2050a11,Abhishek Sharma,Hardik Pandya,3,0,3,3,100.00,0,0.00,0.00,3,3,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2019-100mb00000000149-10d5663944a911,Abhishek Sharma,Piyush Chawla,28,0,28,8,350.00,1,12.50,8.00,7,2,1,0,0,4,2.00,85.71,1,4.00
Head To Head,2019-100mb00000000212-9df3a24d44bc11,20226e936a7872aa11ec8ab502ab46c,Abhishek Sharma,Kwena Maphaka,20,0,20,6,333.33,2,33.33,3.00,4,0,0,0,2,2,1.50,100.00,0,5.00
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2023-100mb00000002535-239c770f61da11,Abhishek Sharma,Gerald Coetzee,12,5,17,5,340.00,0,40.00,2.50,4,2,0,0,1,1,2.50,58.82,0,4.25
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2018-100mb00000000009-92bfdfe9e99b11,Aiden Markram,Jasprit Bumrah,7,1,8,8,100.00,1,12.50,8.00,7,7,0,0,0,0,0.00,0.00,0,1.14
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2018-100mb00000000054-e3ebefa2050a11,Aiden Markram,Hardik Pandya,13,0,13,7,185.71,1,14.29,7.00,6,3,2,0,0,1,7.00,46.15,0,2.17
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2019-100mb00000000149-10d5663944a911,Aiden Markram,Piyush Chawla,4,0,4,2,200.00,0,0.00,0.00,2,1,0,1,0,0,0.00,0.00,0,2.00
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2021-100mb00000000600-e91c35199df211,Aiden Markram,Shams Mulani,5,2,7,4,175.00,0,0.00,0.00,4,3,1,0,0,0,0.00,0.00,0,1.75
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,20226e936a7872aa11ec8ab502ab46c,Aiden Markram,Kwena Maphaka,5,1,6,2,300.00,0,0.00,0.00,2,1,0,0,1,0,2.00,66.67,0,3.00
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2023-100mb00000002535-239c770f61da11,Aiden Markram,Gerald Coetzee,8,5,13,5,260.00,0,0.00,0.00,5,4,0,0,1,0,5.00,30.77,0,2.60
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2018-100mb00000000015-3501d442e99c11,Rohit Sharma,Bhuvneshwar Kumar,5,0,5,3,166.67,1,33.33,3.00,2,1,0,0,1,0,3.00,80.00,0,2.50
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2018-100mb00000000033-d93110bbf88911,Rohit Sharma,Pat Cummins,6,0,6,2,300.00,1,50.00,2.00,1,0,0,0,0,1,2.00,100.00,1,6.00
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2019-100mb00000000180-1352e0b244b611,Rohit Sharma,Jaydev Unadkat,13,0,13,4,325.00,1,25.00,4.00,3,1,0,0,0,2,2.00,92.31,0,4.33
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2020-100mb00000000523-53bc4c09638b11,Rohit Sharma,Shahbaz Ahmed,2,0,2,3,66.67,2,66.67,1.50,1,0,1,0,0,0,0.00,0.00,0,2.00
Head To Head,2018-100mb00000000054-e3ebefa2050a11,2018-100mb00000000015-3501d442e99c11,Hardik Pandya,Bhuvneshwar Kumar,5,0,5,6,83.33,2,33.33,3.00,4,3,1,0,0,0,0.00,0.00,0,1.25
Head To Head,2018-100mb00000000054-e3ebefa2050a11,2018-100mb00000000033-d93110bbf88911,Hardik Pandya,Pat Cummins,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000054-e3ebefa2050a11,2019-100mb00000000087-98d4e401342511,Hardik Pandya,Mayank Markande,14,0,14,6,233.33,0,0.00,0.00,6,4,0,0,1,1,3.00,71.43,0,2.33
Head To Head,2018-100mb00000000054-e3ebefa2050a11,2019-100mb00000000180-1352e0b244b611,Hardik Pandya,Jaydev Unadkat,4,0,4,6,66.67,2,33.33,3.00,4,4,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000164-8ae075db44ad11,2018-100mb00000000015-3501d442e99c11,Ishan Kishan,Bhuvneshwar Kumar,23,4,27,9,300.00,3,44.44,2.25,5,1,0,0,1,3,2.25,81.48,0,5.40
Head To Head,2019-100mb00000000164-8ae075db44ad11,2019-100mb00000000180-1352e0b244b611,Ishan Kishan,Jaydev Unadkat,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2019-100mb00000000164-8ae075db44ad11,2020-100mb00000000523-53bc4c09638b11,Ishan Kishan,Shahbaz Ahmed,6,0,6,2,300.00,1,50.00,2.00,1,0,0,0,0,1,2.00,100.00,1,6.00
Head To Head,2019-100mb00000000371-481ee0be14fc11,2018-100mb00000000033-d93110bbf88911,Romario Shepherd,Pat Cummins,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000371-481ee0be14fc11,2019-100mb00000000087-98d4e401342511,Romario Shepherd,Mayank Markande,14,0,14,5,280.00,2,40.00,2.50,3,0,0,0,2,1,1.67,100.00,0,4.67
Head To Head,2021-100mb00000000636-9e985b64160411,2018-100mb00000000015-3501d442e99c11,Tim David,Bhuvneshwar Kumar,19,0,19,5,380.00,0,0.00,0.00,5,1,1,0,1,2,1.67,84.21,0,3.80
Head To Head,2021-100mb00000000636-9e985b64160411,2018-100mb00000000033-d93110bbf88911,Tim David,Pat Cummins,8,0,8,8,100.00,2,25.00,4.00,6,4,2,0,0,0,0.00,0.00,0,1.33
Head To Head,2021-100mb00000000636-9e985b64160411,2019-100mb00000000087-98d4e401342511,Tim David,Mayank Markande,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2021-100mb00000000636-9e985b64160411,2019-100mb00000000180-1352e0b244b611,Tim David,Jaydev Unadkat,14,2,16,8,200.00,2,25.00,4.00,6,4,0,0,1,1,4.00,62.50,0,2.67
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2018-100mb00000000015-3501d442e99c11,Tilak Varma,Bhuvneshwar Kumar,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2018-100mb00000000033-d93110bbf88911,Tilak Varma,Pat Cummins,8,1,9,7,128.57,3,42.86,2.33,4,2,1,0,1,0,7.00,44.44,1,2.25
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2019-100mb00000000087-98d4e401342511,Tilak Varma,Mayank Markande,19,2,21,10,210.00,3,30.00,3.33,8,5,1,0,0,2,5.00,57.14,0,2.63
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2019-100mb00000000180-1352e0b244b611,Tilak Varma,Jaydev Unadkat,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2020-100mb00000000523-53bc4c09638b11,Tilak Varma,Shahbaz Ahmed,24,1,25,9,277.78,1,22.22,4.50,7,2,2,0,0,3,3.00,72.00,0,3.57
Head To Head,2022-100mb00000000993-60c58f9ea44c11,2021-100mb00000000637-4e1434ea244f11,Tilak Varma,Umran Malik,7,0,7,4,175.00,2,50.00,2.00,2,1,0,0,0,1,4.00,85.71,0,3.50
Head To Head,2024-100mb00000003107-805cae57df9b11,2018-100mb00000000033-d93110bbf88911,Naman Dhir,Pat Cummins,10,0,10,4,250.00,0,0.00,0.00,4,2,1,0,0,1,4.00,60.00,0,2.50
Head To Head,2024-100mb00000003107-805cae57df9b11,2019-100mb00000000087-98d4e401342511,Naman Dhir,Mayank Markande,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2024-100mb00000003107-805cae57df9b11,2019-100mb00000000180-1352e0b244b611,Naman Dhir,Jaydev Unadkat,4,0,4,2,200.00,1,50.00,2.00,1,0,0,0,1,0,2.00,100.00,1,4.00
Head To Head,2024-100mb00000003107-805cae57df9b11,2020-100mb00000000523-53bc4c09638b11,Naman Dhir,Shahbaz Ahmed,7,0,7,4,175.00,0,0.00,0.00,4,3,0,0,1,0,4.00,57.14,0,1.75
Head To Head,2024-100mb00000003107-805cae57df9b11,2021-100mb00000000637-4e1434ea244f11,Naman Dhir,Umran Malik,7,1,8,2,400.00,0,0.00,0.00,2,1,0,0,0,1,2.00,75.00,0,4.00
Head To Head,2018-100mb00000000017-5e389774e99c11,2019-100mb00000000114-8c98068c449611,Krunal Pandya,Harshal Patel,25,3,28,12,233.33,4,33.33,3.00,8,1,3,0,3,1,3.00,64.29,1,3.50
Head To Head,2018-100mb00000000017-5e389774e99c11,2019-100mb00000000116-dbd48930449611,Krunal Pandya,Kagiso Rabada,10,1,11,5,220.00,1,40.00,2.50,3,0,2,0,0,1,5.00,54.55,0,3.67
Head To Head,2018-100mb00000000017-5e389774e99c11,2019-100mb00000000138-5bd8fcf6449d11,Krunal Pandya,Sam Curran,8,0,8,5,160.00,0,0.00,0.00,5,4,0,0,1,0,5.00,50.00,0,1.60
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000116-dbd48930449611,K L Rahul,Kagiso Rabada,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000125-2485f88b449911,K L Rahul,Arshdeep Singh,14,1,15,7,214.29,2,28.57,3.50,5,2,1,0,1,1,3.50,66.67,1,3.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000138-5bd8fcf6449d11,K L Rahul,Sam Curran,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2018-100mb00000000023-201fd633e99d11,2019-100mb00000000130-89338eb7449a11,Marcus Stoinis,Harpreet Brar,3,0,3,5,60.00,3,60.00,1.67,2,1,1,0,0,0,0.00,0.00,0,1.50
Head To Head,2018-100mb00000000023-201fd633e99d11,2019-100mb00000000138-5bd8fcf6449d11,Marcus Stoinis,Sam Curran,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000023-201fd633e99d11,2019-100mb00000000171-b2aa538f44ae11,Marcus Stoinis,Rahul Chahar,15,0,15,6,250.00,1,16.67,6.00,5,3,0,0,0,2,3.00,80.00,1,3.00
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000114-8c98068c449611,Nicholas Pooran,Harshal Patel,3,1,4,5,80.00,1,40.00,2.50,3,3,0,0,0,0,0.00,0.00,0,1.33
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000116-dbd48930449611,Nicholas Pooran,Kagiso Rabada,2,0,2,4,50.00,2,50.00,2.00,2,2,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000125-2485f88b449911,Nicholas Pooran,Arshdeep Singh,9,0,9,3,300.00,0,0.00,0.00,3,1,0,0,2,0,1.50,88.89,0,3.00
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000130-89338eb7449a11,Nicholas Pooran,Harpreet Brar,8,0,8,3,266.67,0,0.00,0.00,3,2,0,0,0,1,3.00,75.00,0,2.67
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000171-b2aa538f44ae11,Nicholas Pooran,Rahul Chahar,20,0,20,6,333.33,0,0.00,0.00,6,2,1,0,1,2,2.00,80.00,0,3.33
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000114-8c98068c449611,Quinton De Kock,Harshal Patel,13,1,14,7,200.00,0,0.00,0.00,7,5,0,0,2,0,3.50,57.14,0,2.00
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000116-dbd48930449611,Quinton De Kock,Kagiso Rabada,16,0,16,10,160.00,5,50.00,2.00,5,2,0,0,2,1,3.33,87.50,0,3.20
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000125-2485f88b449911,Quinton De Kock,Arshdeep Singh,4,0,4,5,80.00,2,40.00,2.50,3,2,1,0,0,0,0.00,0.00,1,1.33
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000130-89338eb7449a11,Quinton De Kock,Harpreet Brar,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000138-5bd8fcf6449d11,Quinton De Kock,Sam Curran,13,0,13,9,144.44,5,55.56,1.80,4,1,1,0,1,1,4.50,76.92,0,3.25
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000171-b2aa538f44ae11,Quinton De Kock,Rahul Chahar,7,0,7,6,116.67,0,0.00,0.00,6,5,1,0,0,0,0.00,0.00,0,1.17
Head To Head,2019-100mb00000000200-1283ad3244ba11,2019-100mb00000000116-dbd48930449611,Devdutt Padikkal,Kagiso Rabada,9,0,9,4,225.00,1,25.00,4.00,3,1,0,0,2,0,2.00,88.89,0,3.00
Head To Head,2019-100mb00000000200-1283ad3244ba11,2019-100mb00000000125-2485f88b449911,Devdutt Padikkal,Arshdeep Singh,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2019-100mb00000000200-1283ad3244ba11,2019-100mb00000000138-5bd8fcf6449d11,Devdutt Padikkal,Sam Curran,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2020-100mb00000000520-c2b1e0df638711,2019-100mb00000000138-5bd8fcf6449d11,Ravi Bishnoi,Sam Curran,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2020-100mb00000000541-c84d8371639b11,2019-100mb00000000138-5bd8fcf6449d11,Mohsin Khan,Sam Curran,2,0,2,1,200.00,0,0.00,0.00,1,0,1,0,0,0,0.00,0.00,0,2.00
Head To Head,2022-100mb00000000985-f5950061a44811,2019-100mb00000000125-2485f88b449911,Ayush Badoni,Arshdeep Singh,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000000985-f5950061a44811,2019-100mb00000000130-89338eb7449a11,Ayush Badoni,Harpreet Brar,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000000985-f5950061a44811,2019-100mb00000000138-5bd8fcf6449d11,Ayush Badoni,Sam Curran,4,0,4,5,80.00,2,40.00,2.50,3,2,1,0,0,0,0.00,0.00,1,1.33
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2018-100mb00000000017-5e389774e99c11,Shikhar Dhawan,Krunal Pandya,3,0,3,4,75.00,1,25.00,4.00,3,3,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2020-100mb00000000520-c2b1e0df638711,Shikhar Dhawan,Ravi Bishnoi,12,0,12,10,120.00,4,40.00,2.50,6,4,1,0,0,1,10.00,50.00,0,2.00
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2020-100mb00000000532-63bf237a639811,Shikhar Dhawan,M Siddharth,20,0,20,11,181.82,5,45.45,2.20,6,2,0,0,3,1,2.75,90.00,0,3.33
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2020-100mb00000000541-c84d8371639b11,Shikhar Dhawan,Mohsin Khan,16,0,16,10,160.00,5,50.00,2.00,5,2,0,0,2,1,3.33,87.50,1,3.20
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2021-100mb00000000639-cf9c67ec2fe411,Shikhar Dhawan,Naveen-Ul-Haq,6,0,6,7,85.71,2,28.57,3.50,5,4,1,0,0,0,0.00,0.00,0,1.20
Head To Head,2018-100mb00000000011-cbf5eb14e99b11,2022-100mb00000000987-e0fbfce6a44911,Shikhar Dhawan,Mayank Yadav,13,1,14,8,175.00,1,25.00,4.00,6,3,1,0,2,0,4.00,57.14,0,2.33
Head To Head,2019-100mb00000000137-d774e3d1449c11,2020-100mb00000000520-c2b1e0df638711,Prabhsimran Singh,Ravi Bishnoi,12,0,12,4,300.00,0,0.00,0.00,4,2,0,0,1,1,2.00,83.33,0,3.00
Head To Head,2019-100mb00000000137-d774e3d1449c11,2022-100mb00000000987-e0fbfce6a44911,Prabhsimran Singh,Mayank Yadav,7,0,7,3,233.33,1,33.33,3.00,2,1,0,0,0,1,3.00,85.71,1,3.50
Head To Head,2019-100mb00000000138-5bd8fcf6449d11,2020-100mb00000000541-c84d8371639b11,Sam Curran,Mohsin Khan,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000183-f4a991db44b611,2018-100mb00000000017-5e389774e99c11,Liam Livingstone,Krunal Pandya,6,0,6,5,120.00,2,40.00,2.50,3,2,0,0,1,0,5.00,66.67,0,2.00
Head To Head,2019-100mb00000000183-f4a991db44b611,2020-100mb00000000541-c84d8371639b11,Liam Livingstone,Mohsin Khan,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000183-f4a991db44b611,2021-100mb00000000639-cf9c67ec2fe411,Liam Livingstone,Naveen-Ul-Haq,19,1,20,8,250.00,2,25.00,4.00,6,3,0,0,1,2,2.67,80.00,0,3.33
Head To Head,2019-100mb00000000183-f4a991db44b611,2022-100mb00000000987-e0fbfce6a44911,Liam Livingstone,Mayank Yadav,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000191-df21803b44b711,2018-100mb00000000017-5e389774e99c11,Shashank Singh,Krunal Pandya,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000191-df21803b44b711,2020-100mb00000000541-c84d8371639b11,Shashank Singh,Mohsin Khan,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000191-df21803b44b711,2021-100mb00000000639-cf9c67ec2fe411,Shashank Singh,Naveen-Ul-Haq,6,1,7,4,175.00,0,25.00,4.00,3,2,0,0,1,0,4.00,57.14,0,2.33
Head To Head,2019-100mb00000000216-33c1188144bd11,2018-100mb00000000017-5e389774e99c11,Jonny Bairstow,Krunal Pandya,16,0,16,8,200.00,2,25.00,4.00,6,4,0,0,0,2,4.00,75.00,0,2.67
Head To Head,2019-100mb00000000216-33c1188144bd11,2020-100mb00000000520-c2b1e0df638711,Jonny Bairstow,Ravi Bishnoi,1,0,1,4,25.00,3,75.00,1.33,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000216-33c1188144bd11,2020-100mb00000000532-63bf237a639811,Jonny Bairstow,M Siddharth,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000216-33c1188144bd11,2020-100mb00000000541-c84d8371639b11,Jonny Bairstow,Mohsin Khan,8,0,8,5,160.00,2,40.00,2.50,3,2,0,0,0,1,5.00,75.00,0,2.67
Head To Head,2019-100mb00000000216-33c1188144bd11,2021-100mb00000000639-cf9c67ec2fe411,Jonny Bairstow,Naveen-Ul-Haq,11,0,11,5,220.00,0,0.00,0.00,5,3,0,0,2,0,2.50,72.73,0,2.20
Head To Head,2019-100mb00000000216-33c1188144bd11,2022-100mb00000000987-e0fbfce6a44911,Jonny Bairstow,Mayank Yadav,5,0,5,6,83.33,4,66.67,1.50,2,1,0,0,1,0,6.00,80.00,1,2.50
Head To Head,2022-100mb00000001000-d90666b7a44d11,2020-100mb00000000541-c84d8371639b11,Jitesh Sharma,Mohsin Khan,5,1,6,4,150.00,2,50.00,2.00,2,1,0,0,1,0,4.00,66.67,0,3.00
Head To Head,2022-100mb00000001000-d90666b7a44d11,2022-100mb00000000987-e0fbfce6a44911,Jitesh Sharma,Mayank Yadav,1,0,1,5,20.00,4,80.00,1.25,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2018-100mb00000000020-9223b16ce99c11,2019-100mb00000000100-f196053e43f611,Washington Sundar,Mohit Sharma,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2018-100mb00000000033-d93110bbf88911,2019-100mb00000000100-f196053e43f611,Pat Cummins,Mohit Sharma,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2018-100mb00000000037-4e250de6f88a11,2018-100mb00000000021-a294dad8e99c11,Travis Head,Umesh Yadav,5,0,5,4,125.00,2,50.00,2.00,2,1,0,0,1,0,4.00,80.00,0,2.50
Head To Head,2018-100mb00000000037-4e250de6f88a11,2019-100mb00000000218-42d9d6f544bf11,Travis Head,Rashid Khan,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000037-4e250de6f88a11,2022-100mb00000000975-56f6385ba44611,Travis Head,Noor Ahmad,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2018-100mb00000000037-4e250de6f88a11,2022-100mb00000001354-5a766b041e0411,Travis Head,Azmatullah Omarzai,11,0,11,5,220.00,1,20.00,5.00,4,1,1,0,2,0,2.50,72.73,0,2.75
Head To Head,2018-100mb00000000055-ed853d8f050a11,2018-100mb00000000021-a294dad8e99c11,Mayank Agarwal,Umesh Yadav,10,1,11,8,137.50,3,50.00,2.00,4,1,1,1,1,0,8.00,36.36,0,2.75
Head To Head,2018-100mb00000000055-ed853d8f050a11,2022-100mb00000001354-5a766b041e0411,Mayank Agarwal,Azmatullah Omarzai,6,1,7,9,77.78,5,66.67,1.50,3,2,0,0,1,0,9.00,57.14,1,2.33
Head To Head,2019-100mb00000000202-438eed6944ba11,2019-100mb00000000100-f196053e43f611,Heinrich Klaasen,Mohit Sharma,3,0,3,3,100.00,1,33.33,3.00,2,1,1,0,0,0,0.00,0.00,0,1.50
Head To Head,2019-100mb00000000202-438eed6944ba11,2019-100mb00000000218-42d9d6f544bf11,Heinrich Klaasen,Rashid Khan,3,0,3,3,100.00,1,33.33,3.00,2,1,1,0,0,0,0.00,0.00,1,1.50
Head To Head,2019-100mb00000000202-438eed6944ba11,2022-100mb00000000975-56f6385ba44611,Heinrich Klaasen,Noor Ahmad,18,0,18,7,257.14,2,28.57,3.50,5,2,0,0,1,2,2.33,88.89,0,3.60
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2019-100mb00000000100-f196053e43f611,Abhishek Sharma,Mohit Sharma,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2019-100mb00000000218-42d9d6f544bf11,Abhishek Sharma,Rashid Khan,16,0,16,7,228.57,2,28.57,3.50,5,2,1,0,0,2,3.50,75.00,0,3.20
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2022-100mb00000000975-56f6385ba44611,Abhishek Sharma,Noor Ahmad,5,0,5,6,83.33,4,66.67,1.50,2,1,0,0,1,0,6.00,80.00,0,2.50
Head To Head,2019-100mb00000000212-9df3a24d44bc11,2022-100mb00000001354-5a766b041e0411,Abhishek Sharma,Azmatullah Omarzai,6,1,7,4,175.00,2,50.00,2.00,2,0,1,0,1,0,4.00,57.14,0,3.50
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2018-100mb00000000021-a294dad8e99c11,Aiden Markram,Umesh Yadav,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2019-100mb00000000100-f196053e43f611,Aiden Markram,Mohit Sharma,7,0,7,6,116.67,0,0.00,0.00,6,5,1,0,0,0,0.00,0.00,0,1.17
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2019-100mb00000000218-42d9d6f544bf11,Aiden Markram,Rashid Khan,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000287-ca1a6bb17ae311,2022-100mb00000000975-56f6385ba44611,Aiden Markram,Noor Ahmad,8,0,8,9,88.89,3,33.33,3.00,6,4,2,0,0,0,0.00,0.00,0,1.33
Head To Head,2020-100mb00000000523-53bc4c09638b11,2018-100mb00000000021-a294dad8e99c11,Shahbaz Ahmed,Umesh Yadav,5,0,5,3,166.67,1,33.33,3.00,2,1,0,0,1,0,3.00,80.00,0,2.50
Head To Head,2020-100mb00000000523-53bc4c09638b11,2019-100mb00000000100-f196053e43f611,Shahbaz Ahmed,Mohit Sharma,2,0,2,4,50.00,2,50.00,2.00,2,2,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2019-100mb00000000127-b2131830449911,Shahbaz Ahmed,Darshan Nalkande,10,0,10,7,142.86,2,28.57,3.50,5,4,0,0,0,1,7.00,60.00,0,2.00
Head To Head,2020-100mb00000000523-53bc4c09638b11,2019-100mb00000000218-42d9d6f544bf11,Shahbaz Ahmed,Rashid Khan,5,0,5,6,83.33,2,33.33,3.00,4,3,1,0,0,0,0.00,0.00,0,1.25
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2018-100mb00000000021-a294dad8e99c11,Abdul Samad,Umesh Yadav,8,0,8,2,400.00,0,0.00,0.00,2,0,0,0,2,0,1.00,100.00,0,4.00
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000100-f196053e43f611,Abdul Samad,Mohit Sharma,9,0,9,5,180.00,1,20.00,5.00,4,3,0,0,0,1,5.00,66.67,0,2.25
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000127-b2131830449911,Abdul Samad,Darshan Nalkande,7,1,8,5,160.00,0,0.00,0.00,5,3,2,0,0,0,0.00,0.00,0,1.60
Head To Head,2020-100mb00000000525-4d2e1ac6639511,2019-100mb00000000218-42d9d6f544bf11,Abdul Samad,Rashid Khan,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2019-100mb00000000061-6d68257c17f311,2018-100mb00000000033-d93110bbf88911,Vijay Shankar,Pat Cummins,5,0,5,5,100.00,1,20.00,5.00,4,3,1,0,0,0,0.00,0.00,0,1.25
