InningsNo,OverNo,BattingTeamID,OutBatsman,OutDesc,BatsmanRuns,BatsmanBalls,OutBatsMan,BatsManRuns,BatsManBalls
2,17,17,Hardik Pandya,c Heinrich Klaasen b Jaydev Unadkat,24,20,,,
1,3,77,K L Rahul,c Jonny Bairstow b Arshdeep Singh,15,9,,,
1,5,77,Devdutt Padikkal,c Shikhar Dhawan b Sam Curran,9,6,,,
1,8,77,Marcus Stoinis,b Rahul Chahar,19,12,,,
1,13,77,Quinton De Kock,c Jitesh Sharma b Arshdeep Singh,54,38,,,
1,15,77,Nicholas Pooran,b Kagiso Rabada,42,21,,,
1,18,77,Ravi Bishnoi,c Tanay Thyagarajan b Sam Curran,0,1,,,
1,18,77,Ayush Badoni,c Jonny Bairstow b Sam Curran,8,10,,,
1,19,77,Mohsin Khan,ro (Harshal Patel),2,1,,,
2,11,15,Jonny Bairstow,c Marcus Stoinis b Mayank Yadav,42,29,,,
2,13,15,Prabhsimran Singh,c Naveen-Ul-Haq b Mayank Yadav,19,7,,,
2,15,15,Jitesh Sharma,c Naveen-Ul-Haq b Mayank Yadav,6,9,,,
2,16,15,Shikhar Dhawan,c Quinton De Kock b Mohsin Khan,70,50,,,
2,16,15,Sam Curran,c Nicholas Pooran b Mohsin Khan,0,1,,,
1,3,77,K L Rahul,c Jonny Bairstow b Arshdeep Singh,15,9,,,
1,5,77,Devdutt Padikkal,c Shikhar Dhawan b Sam Curran,9,6,,,
1,8,77,Marcus Stoinis,b Rahul Chahar,19,12,,,
1,13,77,Quinton De Kock,c Jitesh Sharma b Arshdeep Singh,54,38,,,
1,15,77,Nicholas Pooran,b Kagiso Rabada,42,21,,,
1,18,77,Ravi Bishnoi,c Tanay Thyagarajan b Sam Curran,0,1,,,
1,18,77,Ayush Badoni,c Jonny Bairstow b Sam Curran,8,10,,,
1,19,77,Mohsin Khan,ro (Harshal Patel),2,1,,,
2,11,15,Jonny Bairstow,c Marcus Stoinis b Mayank Yadav,42,29,,,
2,13,15,Prabhsimran Singh,c Naveen-Ul-Haq b Mayank Yadav,19,7,,,
2,15,15,Jitesh Sharma,c Naveen-Ul-Haq b Mayank Yadav,6,9,,,
2,16,15,Sam Curran,c Nicholas Pooran b Mohsin Khan,0,1,,,
2,16,15,Shikhar Dhawan,c Quinton De Kock b Mohsin Khan,70,50,,,
1,4,20,Mayank Agarwal,c Darshan Nalkande b Azmatullah Omarzai,16,17,,,
1,6,20,Travis Head,b Noor Ahmad,19,14,,,
1,9,20,Abhishek Sharma,c Shubman Gill b Mohit Sharma,29,20,,,
1,13,20,Heinrich Klaasen,b Rashid Khan,24,13,,,
1,14,20,Aiden Markram,c Rashid Khan b Umesh Yadav,17,19,,,
1,19,20,Shahbaz Ahmed,c Rahul Tewatia b Mohit Sharma,22,20,,,
1,19,20,Abdul Samad,ro (Noor Ahmad),29,14,,,
1,19,20,Washington Sundar,c Rashid Khan b Mohit Sharma,0,1,,,
2,4,35,Wriddhiman Saha,c Pat Cummins b Shahbaz Ahmed,25,13,,,
2,9,35,Shubman Gill,c Abdul Samad b Mayank Markande,36,28,,,
2,16,35,Sai Sudharsan,c Abhishek Sharma b Pat Cummins,45,36,,,
1,4,20,Mayank Agarwal,c Darshan Nalkande b Azmatullah Omarzai,16,17,,,
1,6,20,Travis Head,b Noor Ahmad,19,14,,,
1,9,20,Abhishek Sharma,c Shubman Gill b Mohit Sharma,29,20,,,
1,13,20,Heinrich Klaasen,b Rashid Khan,24,13,,,
1,14,20,Aiden Markram,c Rashid Khan b Umesh Yadav,17,19,,,
1,19,20,Washington Sundar,c Rashid Khan b Mohit Sharma,0,1,,,
1,19,20,Shahbaz Ahmed,c Rahul Tewatia b Mohit Sharma,22,20,,,
1,19,20,Abdul Samad,ro (Noor Ahmad),29,14,,,
2,4,35,Wriddhiman Saha,c Pat Cummins b Shahbaz Ahmed,25,13,,,
2,9,35,Shubman Gill,c Abdul Samad b Mayank Markande,36,28,,,
2,16,35,Sai Sudharsan,c Abhishek Sharma b Pat Cummins,45,36,,,
1,9,14,David Warner,c Matheesha Pathirana b Mustafizur Rahman,52,34,,,
1,10,14,Prithvi Shaw,c MS Dhoni b Ravindra Jadeja,43,27,,,
1,14,14,Tristan Stubbs,b Matheesha Pathirana,0,2,,,
1,14,14,Mitchell Marsh,b Matheesha Pathirana,18,12,,,
1,18,14,Rishabh Pant,c Ruturaj Gaikwad b Matheesha Pathirana,51,32,,,
2,0,13,Ruturaj Gaikwad,c Rishabh Pant b Khaleel Ahmed,1,2,,,
2,2,13,Rachin Ravindra,c Tristan Stubbs b Khaleel Ahmed,2,12,,,
2,10,13,Daryl Mitchell,c & b Axar Patel,34,26,,,
2,13,13,Sameer Rizwi,c Khaleel Ahmed b Mukesh Kumar,0,1,,,
2,13,13,Ajinkya Rahane,c David Warner b Mukesh Kumar,45,30,,,
2,16,13,Shivam Dube,c Tristan Stubbs b Mukesh Kumar,18,16,,,
1,9,14,David Warner,c Matheesha Pathirana b Mustafizur Rahman,52,34,,,
1,10,14,Prithvi Shaw,c MS Dhoni b Ravindra Jadeja,43,27,,,
1,14,14,Tristan Stubbs,b Matheesha Pathirana,0,2,,,
1,14,14,Mitchell Marsh,b Matheesha Pathirana,18,12,,,
1,18,14,Rishabh Pant,c Ruturaj Gaikwad b Matheesha Pathirana,51,32,,,
2,0,13,Ruturaj Gaikwad,c Rishabh Pant b Khaleel Ahmed,1,2,,,
2,2,13,Rachin Ravindra,c Tristan Stubbs b Khaleel Ahmed,2,12,,,
2,10,13,Daryl Mitchell,c & b Axar Patel,34,26,,,
2,13,13,Sameer Rizwi,c Khaleel Ahmed b Mukesh Kumar,0,1,,,
2,13,13,Ajinkya Rahane,c David Warner b Mukesh Kumar,45,30,,,
2,16,13,Shivam Dube,c Tristan Stubbs b Mukesh Kumar,18,16,,,
1,0,17,Naman Dhir,lbw Trent Boult,0,1,,,
1,0,17,Rohit Sharma,c Sanju Samson b Trent Boult,0,1,,,
1,2,17,Dewald Brevis,c Nandre Burger b Trent Boult,0,1,,,
1,3,17,Ishan Kishan,c Sanju Samson b Nandre Burger,16,14,,,
1,9,17,Hardik Pandya,c Rovman Powell b Yuzvendra Chahal,34,21,,,
1,11,17,Piyush Chawla,c Shimron Hetmyer b Avesh Khan,3,6,,,
1,13,17,Tilak Varma,c Ravichandran Ashwin b Yuzvendra Chahal,32,29,,,
1,16,17,Gerald Coetzee,c Shimron Hetmyer b Yuzvendra Chahal,4,9,,,
1,18,17,Tim David,c Trent Boult b Nandre Burger,17,24,,,
2,0,18,Yashasvi Jaiswal,c Tim David b Kwena Maphaka,10,6,,,
2,4,18,Sanju Samson,b Akash Madhwal,12,10,,,
2,6,18,Jos Buttler,c Piyush Chawla b Akash Madhwal,13,16,,,
2,12,18,Ravichandran Ashwin,c Tilak Varma b Akash Madhwal,16,16,,,
1,0,17,Naman Dhir,lbw Trent Boult,0,1,,,
1,0,17,Rohit Sharma,c Sanju Samson b Trent Boult,0,1,,,
1,2,17,Dewald Brevis,c Nandre Burger b Trent Boult,0,1,,,
1,3,17,Ishan Kishan,c Sanju Samson b Nandre Burger,16,14,,,
1,9,17,Hardik Pandya,c Rovman Powell b Yuzvendra Chahal,34,21,,,
1,11,17,Piyush Chawla,c Shimron Hetmyer b Avesh Khan,3,6,,,
1,13,17,Tilak Varma,c Ravichandran Ashwin b Yuzvendra Chahal,32,29,,,
1,16,17,Gerald Coetzee,c Shimron Hetmyer b Yuzvendra Chahal,4,9,,,
1,18,17,Tim David,c Trent Boult b Nandre Burger,17,24,,,
2,0,18,Yashasvi Jaiswal,c Tim David b Kwena Maphaka,10,6,,,
2,4,18,Sanju Samson,b Akash Madhwal,12,10,,,
2,6,18,Jos Buttler,c Piyush Chawla b Akash Madhwal,13,16,,,
2,12,18,Ravichandran Ashwin,c Tilak Varma b Akash Madhwal,16,16,,,
1,5,77,KL Rahul,c Mayank Dagar b Glenn Maxwell,20,14,,,
1,8,77,Devdutt Padikkal,c Anuj Rawat b Mohammed Siraj,6,11,,,
1,13,77,Marcus Stoinis,c Mayank Dagar b Glenn Maxwell,24,15,,,
1,16,77,Quinton De Kock,c Mayank Dagar b Reece Topley,81,56,,,
1,17,77,Ayush Badoni,c Faf Du Plessis b Yash Dayal,0,3,,,
2,4,19,Virat Kohli,c Devdutt Padikkal b M Siddharth,22,16,,,
2,5,19,Glenn Maxwell,c Nicholas Pooran b Mayank Yadav,0,2,,,
2,5,19,Faf Du Plessis,ro (Devdutt Padikkal),19,13,,,
2,7,19,Cameron Green,b Mayank Yadav,9,9,,,
2,12,19,Anuj Rawat,c Devdutt Padikkal b Marcus Stoinis,11,21,,,
2,14,19,Rajat Patidar,c Devdutt Padikkal b Mayank Yadav,29,21,,,
2,16,19,Dinesh Karthik,c KL Rahul b Naveen-Ul-Haq,4,8,,,
2,17,19,Mahipal Lomror,c Nicholas Pooran b Yash Thakur,33,13,,,
2,17,19,Mayank Dagar,ro (Nicholas Pooran),0,1,,,
2,19,19,Mohammed Siraj,c Nicholas Pooran b Naveen-Ul-Haq,12,8,,,
1,5,77,KL Rahul,c Mayank Dagar b Glenn Maxwell,20,14,,,
