KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,15,0.00,9,0.00,10.00,1,8,5,2,0,0,1,0,0,0,0,0,0,11.11,9.00,40.00,9.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,1,0.00,3,0.00,4.00,1,1,1,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2020-100mb00000000550-247665a42ff311,Cameron Green,6,0.00,6,0.00,6.00,1,5,4,1,0,0,0,0,0,0,0,0,0,16.67,6.00,0.00,0.00
Head To Head,1354,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,7,0.00,3,0.00,14.00,1,2,1,0,0,0,1,0,0,0,0,0,0,33.33,3.00,85.71,3.00
Head To Head,1354,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,0,0.00,3,0.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1354,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,6,0.00,4,0.00,9.00,0,4,2,2,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,10,0.00,8,0.00,7.50,4,4,2,0,0,2,0,0,0,0,0,0,0,50.00,2.00,80.00,4.00
Head To Head,1354,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,9,0.00,8,0.00,6.75,5,3,1,0,0,2,0,0,0,0,0,0,0,62.50,1.60,88.89,4.00
Head To Head,1354,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,12,0.00,4,0.00,19.50,0,4,2,0,0,1,1,1,0,0,0,0,0,0.00,0.00,83.33,2.00
Head To Head,1354,2019-100mb00000000098-7a8c366b43f611,Karn Sharma,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,4,0.00,5,0.00,4.80,2,3,2,1,0,0,0,0,0,0,0,0,0,40.00,2.50,0.00,0.00
Head To Head,1354,2019-100mb00000000098-7a8c366b43f611,Karn Sharma,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,14,0.00,5,0.00,16.80,1,4,2,0,0,0,2,0,0,0,0,0,0,20.00,5.00,85.71,2.50
Head To Head,1354,2019-100mb00000000098-7a8c366b43f611,Karn Sharma,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,6,6.00,2,2.00,18.00,1,1,0,0,0,0,1,0,0,1,0,0,0,50.00,2.00,100.00,2.00
Head To Head,1354,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
