KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1366,2019-100mb00000000172-1befbbeb44af11,Rasikh Salam,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,13,0.00,8,0.00,10.50,1,6,3,2,0,0,1,0,0,0,0,0,0,12.50,8.00,46.15,8.00
Head To Head,1366,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,0,0.00,2,2.00,0.00,2,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1366,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,9,0.00,6,0.00,10.00,1,5,3,1,0,1,0,1,0,0,0,0,0,16.67,6.00,44.44,6.00
Head To Head,1366,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,2019-100mb00000000057-57100cf415ba11,MS Dhoni,10,0.00,7,0.00,8.57,3,4,2,0,0,2,0,0,0,0,0,0,0,42.86,2.33,80.00,3.50
Head To Head,1366,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,1,1.00,2,2.00,3.00,1,1,1,0,0,0,0,0,0,1,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1366,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,2022-100mb00000001229-0174f02b040d11,Sameer Rizwi,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,1,0.00,3,0.00,2.00,2,1,1,0,0,0,0,0,0,0,0,0,0,66.67,1.50,0.00,0.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,5,5.00,7,7.00,4.29,5,2,1,0,0,1,0,0,0,1,0,0,0,71.43,1.40,80.00,7.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2019-100mb00000000149-10d5663944a911,Piyush Chawla,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2021-100mb00000000636-9e985b64160411,Tim David,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2022-100mb00000000993-60c58f9ea44c11,Tilak Varma,2,2.00,5,5.00,2.40,3,2,2,0,0,0,0,0,0,1,0,0,0,60.00,1.67,0.00,0.00
Head To Head,1367,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,2023-100mb00000002535-239c770f61da11,Gerald Coetzee,1,1.00,5,5.00,1.20,4,1,1,0,0,0,0,0,0,1,0,0,0,80.00,1.25,0.00,0.00
Head To Head,1367,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,9,0.00,4,0.00,13.50,0,4,1,2,0,1,0,0,0,0,0,0,0,0.00,0.00,44.44,4.00
Head To Head,1367,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,2019-100mb00000000149-10d5663944a911,Piyush Chawla,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1367,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,2021-100mb00000000636-9e985b64160411,Tim David,4,0.00,6,0.00,4.00,2,4,4,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1367,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,2022-100mb00000000993-60c58f9ea44c11,Tilak Varma,9,0.00,9,0.00,6.67,3,6,3,3,0,0,0,1,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1367,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,2023-100mb00000002535-239c770f61da11,Gerald Coetzee,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2018-100mb00000000006-2cf4bba8e99b11,Rohit Sharma,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2019-100mb00000000164-8ae075db44ad11,Ishan Kishan,2,0.00,5,0.00,2.40,3,2,2,0,0,0,0,0,0,0,0,0,0,60.00,1.67,0.00,0.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2021-100mb00000000636-9e985b64160411,Tim David,6,0.00,4,0.00,10.50,1,3,2,0,0,1,0,1,0,0,0,0,0,25.00,4.00,66.67,4.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2022-100mb00000000993-60c58f9ea44c11,Tilak Varma,12,0.00,10,0.00,7.20,6,4,0,3,0,0,1,0,0,0,0,0,0,60.00,1.67,50.00,10.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,202265c5509b72a911ec8ab502ab46c,Dewald Brevis,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2023-100mb00000002535-239c770f61da11,Gerald Coetzee,1,0.00,2,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1367,2019-100mb00000000066-573f78a31e3711,Trent Boult,2024-100mb00000003107-805cae57df9b11,Naman Dhir,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,7,0.00,5,0.00,8.40,1,4,3,0,0,1,0,0,0,0,0,0,0,20.00,5.00,57.14,5.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,4,0.00,1,0.00,24.00,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,100.00,1.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2019-100mb00000000149-10d5663944a911,Piyush Chawla,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2021-100mb00000000636-9e985b64160411,Tim David,6,0.00,9,0.00,4.67,5,4,2,2,0,0,0,1,0,0,0,0,0,55.56,1.80,0.00,0.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2022-100mb00000000993-60c58f9ea44c11,Tilak Varma,9,0.00,5,0.00,10.80,2,3,1,1,0,0,1,0,0,0,0,0,0,40.00,2.50,66.67,5.00
Head To Head,1367,2019-100mb00000000109-5cc123ab449411,Avesh Khan,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,0,0.00,3,0.00,0.00,0,2,1,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1367,2023-100mb00000002806-75b62b2495ca11,Nandre Burger,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2023-100mb00000002806-75b62b2495ca11,Nandre Burger,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,16,0.00,9,0.00,10.67,4,5,0,2,0,3,0,0,0,0,0,0,0,44.44,2.25,75.00,3.00
Head To Head,1367,2023-100mb00000002806-75b62b2495ca11,Nandre Burger,2019-100mb00000000164-8ae075db44ad11,Ishan Kishan,14,14.00,9,9.00,10.67,5,3,0,0,0,2,1,1,0,1,0,0,0,55.56,1.80,100.00,3.00
Head To Head,1367,2023-100mb00000002806-75b62b2495ca11,Nandre Burger,2021-100mb00000000636-9e985b64160411,Tim David,0,0.00,3,3.00,0.00,3,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1367,2023-100mb00000002806-75b62b2495ca11,Nandre Burger,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1367,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,6,0.00,7,0.00,7.71,3,3,2,0,0,1,0,2,0,0,0,0,0,42.86,2.33,66.67,7.00
Head To Head,1367,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,6,0.00,10,0.00,4.20,7,3,2,0,0,1,0,1,0,0,0,0,0,70.00,1.43,66.67,10.00
Head To Head,1367,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,2019-100mb00000000190-c62cbae544b711,Sanju Samson,4,0.00,6,0.00,10.00,5,1,0,0,0,1,0,2,0,0,0,0,0,83.33,1.20,100.00,6.00
Head To Head,1367,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,2024-100mb00000003112-76787b7ddf9f11,Shubham Dubey,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1367,2019-100mb00000000149-10d5663944a911,Piyush Chawla,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,4,0.00,6,0.00,4.00,3,3,2,1,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1367,2019-100mb00000000149-10d5663944a911,Piyush Chawla,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,12,0.00,9,0.00,8.00,2,7,6,0,0,0,1,0,0,0,0,0,0,22.22,4.50,50.00,9.00
Head To Head,1367,2019-100mb00000000149-10d5663944a911,Piyush Chawla,2024-100mb00000003112-76787b7ddf9f11,Shubham Dubey,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1367,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,5,5.00,7,7.00,6.00,2,4,3,1,0,0,0,0,0,1,0,0,0,28.57,3.50,0.00,0.00
Head To Head,1367,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,2,2.00,6,6.00,3.00,4,2,2,0,0,0,0,1,0,1,0,0,0,66.67,1.50,0.00,0.00
Head To Head,1367,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,7,0.00,8,0.00,5.25,1,7,7,0,0,0,0,0,0,0,0,0,0,12.50,8.00,0.00,0.00
Head To Head,1367,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,2019-100mb00000000190-c62cbae544b711,Sanju Samson,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,1,0,100.00,1.00,0.00,0.00
Head To Head,1367,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,2024-100mb00000003112-76787b7ddf9f11,Shubham Dubey,5,0.00,2,0.00,15.00,0,2,1,0,0,1,0,0,0,0,0,0,0,0.00,0.00,80.00,2.00
Head To Head,1367,20226e936a7872aa11ec8ab502ab46c,Kwena Maphaka,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,5,0.00,3,0.00,10.00,1,2,1,0,0,1,0,0,0,0,0,0,0,33.33,3.00,80.00,3.00
Head To Head,1367,20226e936a7872aa11ec8ab502ab46c,Kwena Maphaka,2019-100mb00000000190-c62cbae544b711,Sanju Samson,8,0.00,3,0.00,16.00,1,2,0,0,0,2,0,0,0,0,0,0,0,33.33,3.00,100.00,1.50
Head To Head,1367,20226e936a7872aa11ec8ab502ab46c,Kwena Maphaka,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,10,10.00,6,6.00,10.00,3,3,0,1,0,2,0,0,0,1,0,0,0,50.00,2.00,80.00,3.00
Head To Head,1367,2023-100mb00000002535-239c770f61da11,Gerald Coetzee,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,7,0.00,3,0.00,14.00,0,3,1,1,0,1,0,0,0,0,0,0,0,0.00,0.00,57.14,3.00
Head To Head,1367,2023-100mb00000002535-239c770f61da11,Gerald Coetzee,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,29,0.00,12,0.00,15.00,4,7,1,0,0,4,2,0,0,0,0,0,0,33.33,3.00,96.55,2.00
Head To Head,1368,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2018-100mb00000000019-80e59e32e99c11,KL Rahul,8,8.00,6,6.00,9.00,3,3,2,0,0,0,1,1,0,1,0,0,0,50.00,2.00,75.00,6.00
Head To Head,1368,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,7,7.00,3,3.00,14.00,1,2,1,0,0,0,1,0,0,1,0,0,0,33.33,3.00,85.71,3.00
Head To Head,1368,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2019-100mb00000000170-9429250944ae11,Quinton De Kock,4,0.00,8,0.00,3.00,4,4,4,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,3,0.00,6,0.00,3.00,3,3,3,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2018-100mb00000000019-80e59e32e99c11,KL Rahul,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,14,0.00,7,0.00,12.00,3,4,2,0,0,0,2,0,0,0,0,0,0,42.86,2.33,85.71,3.50
Head To Head,1368,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2019-100mb00000000170-9429250944ae11,Quinton De Kock,28,0.00,12,0.00,14.00,5,7,2,0,0,2,3,0,0,0,0,0,0,41.67,2.40,92.86,2.40
Head To Head,1368,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,1,1.00,2,2.00,12.00,1,1,1,0,0,0,0,3,0,1,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2020-100mb00000000550-247665a42ff311,Cameron Green,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,13,0.00,6,0.00,13.00,1,5,3,0,0,1,1,0,0,0,0,0,0,16.67,6.00,76.92,3.00
Head To Head,1368,2020-100mb00000000550-247665a42ff311,Cameron Green,2019-100mb00000000170-9429250944ae11,Quinton De Kock,12,0.00,6,0.00,12.00,2,4,2,0,0,1,1,0,0,0,0,0,0,33.33,3.00,83.33,3.00
Head To Head,1368,2021-100mb00000000574-27073d6f802311,Reece Topley,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,20,0.00,7,0.00,18.00,2,5,2,0,0,0,3,1,0,0,0,0,0,28.57,3.50,90.00,2.33
Head To Head,1368,2021-100mb00000000574-27073d6f802311,Reece Topley,2019-100mb00000000170-9429250944ae11,Quinton De Kock,16,16.00,12,12.00,8.00,6,6,2,1,0,3,0,0,0,1,0,0,0,50.00,2.00,75.00,4.00
Head To Head,1368,2021-100mb00000000574-27073d6f802311,Reece Topley,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1368,2021-100mb00000000574-27073d6f802311,Reece Topley,2022-100mb00000000985-f5950061a44811,Ayush Badoni,0,0.00,2,0.00,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000000978-bc824605a44611,Yash Dayal,2018-100mb00000000019-80e59e32e99c11,KL Rahul,11,0.00,6,0.00,11.00,1,5,3,1,0,0,1,0,0,0,0,0,0,16.67,6.00,54.55,6.00
Head To Head,1368,2022-100mb00000000978-bc824605a44611,Yash Dayal,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,6,0.00,6,0.00,6.00,3,3,2,0,0,1,0,0,0,0,0,0,0,50.00,2.00,66.67,6.00
Head To Head,1368,2022-100mb00000000978-bc824605a44611,Yash Dayal,2019-100mb00000000170-9429250944ae11,Quinton De Kock,7,0.00,11,0.00,3.82,7,4,3,0,0,1,0,0,0,0,0,0,0,63.64,1.57,57.14,11.00
Head To Head,1368,2022-100mb00000000978-bc824605a44611,Yash Dayal,2022-100mb00000000985-f5950061a44811,Ayush Badoni,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000001547-613ed5ea54ee11,Mayank Dagar,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,4,0.00,5,0.00,4.80,1,4,4,0,0,0,0,0,0,0,0,0,0,20.00,5.00,0.00,0.00
Head To Head,1368,2022-100mb00000001547-613ed5ea54ee11,Mayank Dagar,2019-100mb00000000170-9429250944ae11,Quinton De Kock,14,0.00,7,0.00,16.29,1,6,4,0,0,1,1,1,0,0,0,0,0,14.29,7.00,71.43,3.50
Head To Head,1368,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,8,0.00,4,0.00,12.00,0,4,2,1,0,1,0,0,0,0,0,0,0,0.00,0.00,50.00,4.00
Head To Head,1368,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1368,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2019-100mb00000000184-117a285844b711,Mahipal Lomror,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,3,3.00,4,4.00,12.00,2,2,1,1,0,0,0,1,0,1,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1368,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,12,0.00,4,0.00,19.50,2,2,0,0,0,0,2,1,0,0,0,0,0,50.00,2.00,100.00,2.00
Head To Head,1368,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1368,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,2020-100mb00000000550-247665a42ff311,Cameron Green,4,0.00,4,0.00,7.50,1,3,2,1,0,0,0,1,0,0,0,0,0,25.00,4.00,0.00,0.00
Head To Head,1368,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,2021-100mb00000000574-27073d6f802311,Reece Topley,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,12,0.00,5,0.00,14.40,1,4,2,0,0,1,1,0,0,0,0,0,0,20.00,5.00,83.33,2.50
Head To Head,1368,2020-100mb00000000532-63bf237a639811,M Siddharth,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,7,7.00,8,8.00,5.25,4,4,3,0,0,1,0,0,0,1,0,0,0,50.00,2.00,57.14,8.00
Head To Head,1368,2020-100mb00000000532-63bf237a639811,M Siddharth,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,13,0.00,8,0.00,9.75,2,6,3,1,0,2,0,0,0,0,0,0,0,25.00,4.00,61.54,4.00
Head To Head,1368,2020-100mb00000000532-63bf237a639811,M Siddharth,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,1,1.00,2,2.00,6.00,1,1,1,0,0,0,0,1,0,1,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,7,0.00,4,0.00,10.50,2,2,1,0,0,0,1,0,0,0,0,0,0,50.00,2.00,85.71,4.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,0,0.00,3,3.00,0.00,3,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,4,0.00,2,0.00,12.00,1,1,0,0,0,1,0,0,0,0,0,0,0,50.00,2.00,100.00,2.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2019-100mb00000000184-117a285844b711,Mahipal Lomror,10,0.00,3,0.00,22.00,0,2,0,0,0,1,1,0,0,0,0,0,0,0.00,0.00,100.00,1.50
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,1,0.00,4,0.00,1.50,3,1,1,0,0,0,0,0,0,0,0,0,0,75.00,1.33,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2021-100mb00000000574-27073d6f802311,Reece Topley,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,0,0.00,2,0.00,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq,2022-100mb00000001547-613ed5ea54ee11,Mayank Dagar,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,1,0.00,4,0.00,1.50,3,1,1,0,0,0,0,0,0,0,0,0,0,75.00,1.33,0.00,0.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,0,0.00,2,2.00,0.00,2,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,3,0.00,6,0.00,4.00,3,2,1,1,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2020-100mb00000000550-247665a42ff311,Cameron Green,5,5.00,5,5.00,6.00,3,2,1,0,0,1,0,0,0,1,0,1,0,60.00,1.67,80.00,5.00
Head To Head,1368,2022-100mb00000000987-e0fbfce6a44911,Mayank Yadav,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,5,5.00,6,6.00,5.00,4,2,1,0,0,1,0,0,0,1,0,0,0,66.67,1.50,80.00,6.00
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,0,0.00,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2019-100mb00000000184-117a285844b711,Mahipal Lomror,23,11.50,9,4.50,16.00,1,7,3,0,0,2,2,0,0,1,1,0,0,11.11,9.00,86.96,2.25
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2,0.00,4,0.00,3.00,2,2,2,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2021-100mb00000000574-27073d6f802311,Reece Topley,1,0.00,3,0.00,2.00,2,1,1,0,0,0,0,0,0,0,0,0,0,66.67,1.50,0.00,0.00
Head To Head,1368,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,10,0.00,5,0.00,12.00,0,5,4,0,0,0,1,0,0,0,0,0,0,0.00,0.00,60.00,5.00
