MatchID,InningsNo,TeamID,PlayerID,PlayerName,Score,FallScore,FallWickets,FallOvers
1436,2,77,2023-100mb00000002788-734d7bb794fb11,Arshin Atul Kulkarni,20/1(1.6),20,1,1.6
1436,2,77,2018-100mb00000000019-80e59e32e99c11,K L Rahul,70/2(7.3),70,2,7.3
1436,2,77,2019-100mb00000000215-f86e728844bc11,Deepak Hooda,77/3(8.2),77,3,8.2
1436,2,77,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,85/4(9.1),85,4,9.1
1436,2,77,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,101/5(11.2),101,5,11.2
1436,2,77,2022-100mb00000000985-f5950061a44811,Ayush Badoni,109/6(12.3),109,6,12.3
1436,2,77,2019-100mb00000000086-8d7f2f7d30f311,Ashton Turner,125/7(13.6),125,7,13.6
1436,2,77,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,129/8(14.4),129,8,14.4
1436,2,77,2021-100mb00000000587-d15a3db891de11,Yudhvir Singh,137/9(15.6),137,9,15.6
1436,2,77,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,137/10(16.1),137,10,16.1
1437,1,20,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,56/1(5.5),56,1,5.5
1437,1,20,2018-100mb00000000055-ed853d8f050a11,Mayank Agarwal,68/2(7.4),68,2,7.4
1437,1,20,2018-100mb00000000037-4e250de6f88a11,Travis Head,90/3(10.3),90,3,10.3
1437,1,20,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,92/4(11.1),92,4,11.1
1437,1,20,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,96/5(12.1),96,5,12.1
1437,1,20,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,120/6(15.1),120,6,15.1
1437,1,20,2021-100mb00000000586-8238f85f91de11,Marco Jansen,124/7(15.5),124,7,15.5
1437,1,20,2020-100mb00000000525-4d2e1ac6639511,Abdul Samad,136/8(16.6),136,8,16.6
1437,2,17,2019-100mb00000000164-8ae075db44ad11,Ishan Kishan,26/1(1.4),26,1,1.4
1437,2,17,2018-100mb00000000006-2cf4bba8e99b11,Rohit Sharma,31/2(3.2),31,2,3.2
1437,2,17,2024-100mb00000003107-805cae57df9b11,Naman Dhir,31/3(4.1),31,3,4.1
1440,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,19/1(2.2),19,1,2.2
1440,1,19,2023-100mb00000001941-9401571cc40411,Will Jacks,43/2(4.4),43,2,4.4
1440,1,19,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,119/3(9.6),119,3,9.6
1440,1,19,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,211/4(17.4),211,4,17.4
1440,1,19,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,238/5(19.1),238,5,19.1
1440,1,19,2019-100mb00000000184-117a285844b711,Mahipal Lomror,240/6(19.4),240,6,19.4
1440,1,19,2020-100mb00000000550-247665a42ff311,Cameron Green,241/7(19.6),241,7,19.6
