MatchID,BattingTeamID,InningsNo,StrikerID,Striker,NonStrikerID,PartnershipTotal,StrikerRuns,StrikerBalls,Extras,NonStrikerRuns,NonStrikerBalls,MatchMaxOver,MatchMinOver,NonStriker,@I := 0,RowNumber
1423,19,1,2019-100mb00000000184-117a285844b711,Mahipal Lomror,2020-100mb00000000550-247665a42ff311,21,7,4,1,13,6,16.3,14.6,Cameron Green,0,10
1423,19,1,2020-100mb00000000550-247665a42ff311,Cameron Green,2018-100mb00000000013-1031ba8ae99c11,32,18,8,3,11,6,18.5,16.4,Dinesh Karthik,0,11
1423,19,1,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,2020-100mb00000000550-247665a42ff311,32,11,6,3,18,8,18.5,16.4,Cameron Green,0,12
1423,19,1,2022-100mb00000001483-5afb915c543411,Swapnil Singh,2020-100mb00000000550-247665a42ff311,13,12,6,0,1,1,19.6,18.6,Cameron Green,0,13
1423,19,1,2020-100mb00000000550-247665a42ff311,Cameron Green,2022-100mb00000001483-5afb915c543411,13,1,1,0,12,6,19.6,18.6,Swapnil Singh,0,14
1423,20,2,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2018-100mb00000000037-4e250de6f88a11,3,2,3,0,1,3,0.6,0.1,Travis Head,0,1
1423,20,2,2018-100mb00000000037-4e250de6f88a11,Travis Head,2019-100mb00000000212-9df3a24d44bc11,3,1,3,0,2,3,0.6,0.1,Abhishek Sharma,0,2
1423,20,2,2019-100mb00000000287-ca1a6bb17ae311,Aiden Markram,2019-100mb00000000212-9df3a24d44bc11,34,3,6,2,29,10,3.4,1.1,Abhishek Sharma,0,3
1423,20,2,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2019-100mb00000000287-ca1a6bb17ae311,34,29,10,2,3,6,3.4,1.1,Aiden Markram,0,4
1423,20,2,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,2019-100mb00000000287-ca1a6bb17ae311,4,0,2,0,4,2,4.2,3.5,Aiden Markram,0,5
1423,20,2,2019-100mb00000000287-ca1a6bb17ae311,Aiden Markram,2023-100mb00000001944-c9a4b0e8c40511,4,4,2,0,0,2,4.2,3.5,Nitish Kumar Reddy,0,6
1423,20,2,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,2019-100mb00000000202-438eed6944ba11,15,7,2,1,7,3,4.6,4.3,Heinrich Klaasen,0,7
1423,20,2,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2023-100mb00000001944-c9a4b0e8c40511,15,7,3,1,7,2,4.6,4.3,Nitish Kumar Reddy,0,8
1423,20,2,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,2020-100mb00000000523-53bc4c09638b11,13,6,9,1,6,5,7.2,5.1,Shahbaz Ahmed,0,9
1423,20,2,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,2023-100mb00000001944-c9a4b0e8c40511,13,6,5,1,6,9,7.2,5.1,Nitish Kumar Reddy,0,10
1423,20,2,2020-100mb00000000525-4d2e1ac6639511,Abdul Samad,2020-100mb00000000523-53bc4c09638b11,16,10,6,0,6,5,9.1,7.3,Shahbaz Ahmed,0,11
1423,20,2,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,2020-100mb00000000525-4d2e1ac6639511,16,6,5,0,10,6,9.1,7.3,Abdul Samad,0,12
1423,20,2,2018-100mb00000000033-d93110bbf88911,Pat Cummins,2020-100mb00000000523-53bc4c09638b11,39,31,15,1,7,9,13.1,9.2,Shahbaz Ahmed,0,13
1423,20,2,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,2018-100mb00000000033-d93110bbf88911,39,7,9,1,31,15,13.1,9.2,Pat Cummins,0,14
1423,20,2,2018-100mb00000000015-3501d442e99c11,Bhuvneshwar Kumar,2020-100mb00000000523-53bc4c09638b11,17,13,13,1,3,3,15.5,13.2,Shahbaz Ahmed,0,15
1423,20,2,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,2018-100mb00000000015-3501d442e99c11,17,3,3,1,13,13,15.5,13.2,Bhuvneshwar Kumar,0,16
1423,20,2,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,2019-100mb00000000180-1352e0b244b611,30,18,15,4,8,10,19.6,15.6,Jaydev Unadkat,0,17
1423,20,2,2019-100mb00000000180-1352e0b244b611,Jaydev Unadkat,2020-100mb00000000523-53bc4c09638b11,30,8,10,4,18,15,19.6,15.6,Shahbaz Ahmed,0,18
1422,14,1,2018-100mb00000000051-5a1d4ca2f88b11,Prithvi Shaw,2024-100mb00000003115-5afd8ccce29e11,35,11,6,1,23,14,3.2,0.1,Jake Fraser-Mcgurk,0,1
1422,14,1,2024-100mb00000003115-5afd8ccce29e11,Jake Fraser-Mcgurk,2018-100mb00000000051-5a1d4ca2f88b11,35,23,14,1,11,6,3.2,0.1,Prithvi Shaw,0,2
1422,14,1,2018-100mb00000000051-5a1d4ca2f88b11,Prithvi Shaw,2019-100mb00000000110-79ae08f5449411,1,0,1,0,1,2,3.5,3.3,Axar Patel,0,3
1422,14,1,2019-100mb00000000110-79ae08f5449411,Axar Patel,2018-100mb00000000051-5a1d4ca2f88b11,1,1,2,0,0,1,3.5,3.3,Prithvi Shaw,0,4
1422,14,1,2019-100mb00000000268-22e2e3987add11,Shai Hope,2019-100mb00000000110-79ae08f5449411,8,5,6,0,3,5,5.4,3.6,Axar Patel,0,5
1422,14,1,2019-100mb00000000110-79ae08f5449411,Axar Patel,2019-100mb00000000268-22e2e3987add11,8,3,5,0,5,6,5.4,3.6,Shai Hope,0,6
1422,14,1,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,2019-100mb00000000110-79ae08f5449411,113,48,32,3,62,36,16.6,5.5,Axar Patel,0,7
1422,14,1,2019-100mb00000000110-79ae08f5449411,Axar Patel,2018-100mb00000000018-6e65e6f7e99c11,113,62,36,3,48,32,16.6,5.5,Rishabh Pant,0,8
1422,14,1,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,2018-100mb00000000018-6e65e6f7e99c11,67,26,7,1,40,11,19.6,17.1,Rishabh Pant,0,9
1422,14,1,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,2022-100mb00000001017-3e376712cc7911,67,40,11,1,26,7,19.6,17.1,Tristan Stubbs,0,10
1422,35,2,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2019-100mb00000000062-8fa4884a17f311,13,6,4,1,6,5,1.3,0.1,Shubman Gill,0,1
1422,35,2,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2019-100mb00000000225-a11ad1bc44c011,13,6,5,1,6,4,1.3,0.1,Wriddhiman Saha,0,2
1422,35,2,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2022-100mb00000000976-79aa33cca44611,82,33,21,1,48,28,9.4,1.4,Sai Sudharsan,0,3
1422,35,2,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2019-100mb00000000225-a11ad1bc44c011,82,48,28,1,33,21,9.4,1.4,Wriddhiman Saha,0,4
1422,35,2,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2022-100mb00000001354-5a766b041e0411,3,2,1,0,1,2,10.1,9.5,Azmatullah Omarzai,0,5
1422,35,2,2022-100mb00000001354-5a766b041e0411,Azmatullah Omarzai,2022-100mb00000000976-79aa33cca44611,3,1,2,0,2,1,10.1,9.5,Sai Sudharsan,0,6
1422,35,2,2019-100mb00000000128-e95bebea449911,David Miller,2022-100mb00000000976-79aa33cca44611,23,8,5,0,15,10,12.4,10.2,Sai Sudharsan,0,7
1422,35,2,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2019-100mb00000000128-e95bebea449911,23,15,10,0,8,5,12.4,10.2,David Miller,0,8
1422,35,2,2019-100mb00000000128-e95bebea449911,David Miller,2021-100mb00000000590-85eaa6f291e011,18,10,4,0,8,5,14.1,12.5,Shahrukh Khan,0,9
1422,35,2,2021-100mb00000000590-85eaa6f291e011,Shahrukh Khan,2019-100mb00000000128-e95bebea449911,18,8,5,0,10,4,14.1,12.5,David Miller,0,10
1422,35,2,2019-100mb00000000120-7489ddcc449711,Rahul Tewatia,2019-100mb00000000128-e95bebea449911,13,4,5,0,9,6,15.6,14.2,David Miller,0,11
1422,35,2,2019-100mb00000000128-e95bebea449911,David Miller,2019-100mb00000000120-7489ddcc449711,13,9,6,0,4,5,15.6,14.2,Rahul Tewatia,0,12
1422,35,2,2019-100mb00000000218-42d9d6f544bf11,Rashid Khan,2019-100mb00000000128-e95bebea449911,29,1,1,0,28,8,17.3,16.1,David Miller,0,13
1422,35,2,2019-100mb00000000128-e95bebea449911,David Miller,2019-100mb00000000218-42d9d6f544bf11,29,28,8,0,1,1,17.3,16.1,Rashid Khan,0,14
1422,35,2,2019-100mb00000000218-42d9d6f544bf11,Rashid Khan,2020-100mb00000000544-980117aa639c11,25,6,4,6,13,6,18.6,17.4,Sai Kishore,0,15
1422,35,2,2020-100mb00000000544-980117aa639c11,Sai Kishore,2019-100mb00000000218-42d9d6f544bf11,25,13,6,6,6,4,18.6,17.4,Rashid Khan,0,16
1422,35,2,2019-100mb00000000100-f196053e43f611,Mohit Sharma,2019-100mb00000000218-42d9d6f544bf11,14,0,0,0,14,6,19.6,19.1,Rashid Khan,0,17
1422,35,2,2019-100mb00000000218-42d9d6f544bf11,Rashid Khan,2019-100mb00000000100-f196053e43f611,14,14,6,0,0,0,19.6,19.1,Mohit Sharma,0,18
1424,16,1,2022-100mb00000001220-372333e3f9f711,Phil Salt,2019-100mb00000000156-a6b6f42c44aa11,138,60,31,7,71,32,10.2,0.1,Sunil Narine,0,1
1424,16,1,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,2022-100mb00000001220-372333e3f9f711,138,71,32,7,60,31,10.2,0.1,Phil Salt,0,2
1424,16,1,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,2022-100mb00000001220-372333e3f9f711,25,9,7,1,15,6,12.3,10.3,Phil Salt,0,3
1424,16,1,2022-100mb00000001220-372333e3f9f711,Phil Salt,2021-100mb00000000584-a3f48c1791dd11,25,15,6,1,9,7,12.3,10.3,Venkatesh Iyer,0,4
1424,16,1,2019-100mb00000000141-e67c41d144a711,Andre Russell,2021-100mb00000000584-a3f48c1791dd11,40,24,12,3,13,6,15.3,12.4,Venkatesh Iyer,0,5
1424,16,1,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,2019-100mb00000000141-e67c41d144a711,40,13,6,3,24,12,15.3,12.4,Andre Russell,0,6
1424,16,1,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,2018-100mb00000000012-ea4c47d2e99b11,43,15,8,0,28,10,18.3,15.4,Shreyas Iyer,0,7
1424,16,1,2018-100mb00000000012-ea4c47d2e99b11,Shreyas Iyer,2021-100mb00000000584-a3f48c1791dd11,43,28,10,0,15,8,18.3,15.4,Venkatesh Iyer,0,8
1424,16,1,2019-100mb00000000152-335aed3d44aa11,Rinku Singh,2021-100mb00000000584-a3f48c1791dd11,7,5,4,0,2,1,19.2,18.4,Venkatesh Iyer,0,9
1424,16,1,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,2019-100mb00000000152-335aed3d44aa11,7,2,1,0,5,4,19.2,18.4,Rinku Singh,0,10
1424,16,1,2022-100mb00000000991-d9fbad51a44b11,Ramandeep Singh,2021-100mb00000000584-a3f48c1791dd11,8,6,3,2,0,1,19.6,19.3,Venkatesh Iyer,0,11
1424,16,1,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,2022-100mb00000000991-d9fbad51a44b11,8,0,1,2,6,3,19.6,19.3,Ramandeep Singh,0,12
1424,15,2,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,2019-100mb00000000137-d774e3d1449c11,93,36,16,3,54,20,5.6,0.1,Prabhsimran Singh,0,1
1424,15,2,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,2019-100mb00000000216-33c1188144bd11,93,54,20,3,36,16,5.6,0.1,Jonny Bairstow,0,2
1424,15,2,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,2022-100mb00000001426-5cf9b7f5336311,85,57,23,2,26,16,12.3,6.1,Rilee Rossouw,0,3
1424,15,2,2022-100mb00000001426-5cf9b7f5336311,Rilee Rossouw,2019-100mb00000000216-33c1188144bd11,85,26,16,2,57,23,12.3,6.1,Jonny Bairstow,0,4
1424,15,2,2019-100mb00000000191-df21803b44b711,Shashank Singh,2019-100mb00000000216-33c1188144bd11,84,68,28,1,15,9,18.4,12.4,Jonny Bairstow,0,5
1424,15,2,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,2019-100mb00000000191-df21803b44b711,84,15,9,1,68,28,18.4,12.4,Shashank Singh,0,6
1421,13,1,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2018-100mb00000000044-e03a43dbf88a11,4,3,3,0,1,3,0.6,0.1,Ajinkya Rahane,0,1
1421,13,1,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,2019-100mb00000000102-28e7fca043fc11,4,1,3,0,3,3,0.6,0.1,Ruturaj Gaikwad,0,2
1421,13,1,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,2019-100mb00000000102-28e7fca043fc11,45,11,10,0,34,16,5.2,1.1,Ruturaj Gaikwad,0,3
